"ASB",  "UTAA", "640",                                                          
"DAR",  "HTDA", "1000",                                                         
"LXR",  "HELX", "535",                                                          
"KRK",  "EPKK", "235",                                                          
"GOT",  "ESGG", "210",                                                          
"ARN",  "ESSA", "240",                                                          
"BLR",  "VOBL", "1000",                                                         
"SJU",  "TJSJ", "840",                                                          
"HRE",  "FVHA", "1020",                                                         
"CCF",  "LFMK", "200",                                                          
"OVD",  "LEAS", "145",                                                          
"PEK",  "ZBAA", "1055",                                                         
"SFO",  "KSFO", "1015",                                                         
"SKG",  "LGTS", "330",                                                          
"SKP",  "LWSK", "330",                                                          
"MEL",  "YMML", "2130",                                                         
"BOD",  "LFBD", "145",                                                          
"IAH",  "KIAH", "905",                                                          
"EWR",  "KEWR", "650",                                                          
"ALG",  "DAAG", "300",                                                          
"BOG",  "SKBO", "1015",                                                         
"CAI",  "HECA", "505",                                                          
"ANU",  "TAPA", "750",                                                          
"POS",  "TTPP", "750",                                                          
"ACI",  "EGJA", "100",                                                          
"VNO",  "EYVI", "300",                                                          
"WDH",  "FYWH", "1015",                                                         
"HAU",  "ENHD", "215",                                                          
"MXP",  "LIMC", "200",                                                          
"TLV",  "LLBG", "525",                                                          
"TNG",  "GMTT", "245",                                                          
"TRN",  "LIMF", "140",                                                          
"TUN",  "DTTA", "255",                                                          
"VCE",  "LIPZ", "210",                                                          
"YOW",  "CYOW", "645",                                                          
"IOM",  "EGNS", "110",                                                          
"TXL",  "EDDT", "200",                                                          
"VLC",  "LEVC", "225",                                                          
"SVQ",  "LEZL", "245",                                                          
"ORY",  "LFPO", "105",                                                          
"GOA",  "LIMJ", "210",                                                          
"LLW",  "FWKI", "1015",                                                         
"CMB",  "VCBI", "1130",                                                         
"RAK",  "GMMX", "330",                                                          
"LUX",  "ELLX", "115",                                                          
"LDY",  "EGAE", "125",                                                          
"NQY",  "EGHQ", "110",                                                          
"PSR",  "LIBP", "230",                                                          
"XRY",  "LEJR", "245",                                                          
"BUD",  "LHBP", "240",                                                          
"NHT",  "EGWU", "10",                                                           
"TAS",  "UTTT", "725",                                                          
"GCI",  "EGJB", "100",                                                          
"SGN",  "VVTS", "1310",                                                         
"JNB",  "FAOR", "1110",                                                         
"ISL",  "LTBA", "400",                                                          
"CLT",  "KCLT", "755",                                                          
"ABQ",  "KABQ", "845",                                                          
"TPE",  "RCTP", "1430",                                                         
"TAB",  "TTCP", "825",                                                          
"ABV",  "DNAA", "635",                                                          
"NQZ",  "",     "650",                                                          
"VKO",  "UUWW", "335",                                                          
"SVG",  "ENZV", "150",                                                          
"MBJ",  "MKJS", "910",                                                          
"KTM",  "VNKT", "1030",                                                         
"FNC",  "LPMA", "345",                                                          
"SEZ",  "FSIA", "930",                                                          
"DAM",  "OSDI", "540",                                                          
"HBE",  "HEBA", "505",                                                          
"NGO",  "RJGG", "1230",                                                         
"CDG",  "LFPG", "105",                                                          
"KIX",  "RJBB", "1220",                                                         
"PER",  "YPPH", "1905",                                                         
"JER",  "EGJJ", "100",                                                          
"CCS",  "SVMI", "855",                                                          
"BDA",  "TXKF", "700",                                                          
"LHE",  "OPLA", "825",                                                          
"NBO",  "HKJK", "915",                                                          
"ALP",  "OSAP", "510",                                                          
"ORN",  "DAOO", "245",                                                          
"FAO",  "LPFR", "245",                                                          
"BWI",  "KBWI", "720",                                                          
"AKL",  "NZAA", "2300",                                                         
"CLE",  "KCLE", "725",                                                          
"BKK",  "VTBS", "1210",                                                         
"YEG",  "CYEG", "830",                                                          
"TBS",  "UGTB", "540",                                                          
"ADE",  "OYAA", "800",                                                          
